title,critic_score,critic_sentiment,audience_score,audience_sentiment
Nimona,92%,positive,90%,positive
Fixed,56%,negative,42%,negative
Marmaduke,0%,negative,37%,negative
The Sea Beast,94%,positive,83%,positive
Cargo,88%,positive,67%,positive
Still Alice,85%,positive,85%,positive
Blue Streak,35%,negative,64%,positive
Mudbound,97%,positive,85%,positive
Tell Them You Love Me,100%,positive,83%,positive
Firestarter,10%,negative,47%,negative
Daddio,75%,positive,89%,positive
G.I. Joe: The Rise of Cobra,33%,negative,50%,negative
Okja,87%,positive,81%,positive
A Very Vintage Christmas,,,25%,negative
Did You Hear About the Morgans?,12%,negative,27%,negative
Spencer,83%,positive,52%,negative
Hunger,86%,positive,64%,positive
The Karate Kid,81%,positive,83%,positive
Mary,28%,negative,36%,negative
Geronimo: An American Legend,52%,negative,52%,negative
The Mother,43%,negative,62%,positive
Unknown Number: The High School Catfish,85%,positive,69%,positive
Army of Thieves,69%,positive,69%,positive
Orion and the Dark,91%,positive,57%,negative
Private Life,94%,positive,79%,positive
Ace Ventura: When Nature Calls,23%,negative,72%,positive
Malcolm & Marie,57%,negative,67%,positive
You Are So Not Invited to My Bat Mitzvah,91%,positive,60%,positive
Miracles From Heaven,45%,negative,80%,positive
The Kitchen,89%,positive,45%,negative
Ghost Rider: Spirit of Vengeance,18%,negative,31%,negative
Till Death,90%,positive,53%,negative
Christmas With You,65%,positive,60%,positive
Dr. Seuss's The Sneetches,,,,
Grenfell: Uncovered,100%,positive,,
R.I.P.D.,13%,negative,38%,negative
Saving Bikini Bottom: The Sandy Cheeks Movie,50%,negative,30%,negative
Kubo and the Two Strings,97%,positive,86%,positive
Saban's Power Rangers,51%,negative,65%,positive
Unfrosted,39%,negative,49%,negative
Fear Street Part One: 1994,84%,positive,63%,positive
Lift,31%,negative,33%,negative
Holiday in the Wild,43%,negative,51%,negative
The Babysitter,70%,positive,62%,positive
The Ice Road,43%,negative,31%,negative
Lust Stories,100%,positive,66%,positive
The Hating Game,68%,positive,74%,positive
Day Shift,57%,negative,76%,positive
K-PAX,41%,negative,75%,positive
Sinister 2,14%,negative,31%,negative
Things Heard & Seen,39%,negative,23%,negative
The Fundamentals of Caring,80%,positive,83%,positive
Turbo,68%,positive,65%,positive
My Octopus Teacher,93%,positive,91%,positive
The Longest Yard,31%,negative,62%,positive
Rebel Moon - Part One: Director's Cut,53%,negative,73%,positive
Life of the Party,38%,negative,40%,negative
Nowhere,71%,positive,58%,negative
The Devil's Own,34%,negative,41%,negative
The Remarkable Life of Ibelin,97%,positive,95%,positive
"My Father, the BTK Killer",,,,
The Mauritanian,75%,positive,85%,positive
How to Be Single,45%,negative,47%,negative
Incoming,24%,negative,52%,negative
Rebel Moon: Part Two - The Scargiver,16%,negative,47%,negative
Run Rabbit Run,38%,negative,27%,negative
Blood & Gold,85%,positive,67%,positive
Fear Street: Prom Queen,27%,negative,24%,negative
The Shadow Strays,92%,positive,78%,positive
What Happened to Monday,62%,positive,67%,positive
Harold and the Purple Crayon,27%,negative,89%,positive
I Don't Feel at Home in This World Anymore,89%,positive,77%,positive
The Secret: Dare to Dream,28%,negative,72%,positive
White Noise,7%,negative,31%,negative
A Secret Love,100%,positive,88%,positive
Manodrome,49%,negative,23%,negative
Madea's Destination Wedding,11%,negative,37%,negative
Marry Me,61%,positive,92%,positive
Radio,34%,negative,79%,positive
The Red Sea Diving Resort,27%,negative,77%,positive
The School for Good and Evil,38%,negative,66%,positive
Planet 51,23%,negative,40%,negative
Christmas Inheritance,43%,negative,41%,negative
Thank You for Your Service,77%,positive,73%,positive
Christmas on Mistletoe Farm,,,38%,negative
Eurovision Song Contest: The Story of Fire Saga,63%,positive,77%,positive
The Boy Who Harnessed the Wind,86%,positive,88%,positive
Aloha,20%,negative,29%,negative
A Classic Horror Story,55%,negative,35%,negative
Kick-Ass 2,33%,negative,57%,negative
You People,39%,negative,34%,negative
Tell Me Who I Am,97%,positive,86%,positive
Bright,26%,negative,83%,positive
Sea of Love,76%,positive,66%,positive
The Host,10%,negative,50%,negative
Joy,89%,positive,88%,positive
Freelance,10%,negative,78%,positive
Tehran,,,,
The Open House,7%,negative,8%,negative
Anger Management,42%,negative,59%,negative
Ouija,6%,negative,24%,negative
Kate,45%,negative,52%,negative
Aileen: Queen of the Serial Killers,,,49%,negative
White House Down,52%,negative,62%,positive
Always Be My Maybe,89%,positive,80%,positive
Buy Now: The Shopping Conspiracy,,,76%,positive
Good Grief,76%,positive,70%,positive
Against the Ice,57%,negative,73%,positive
"""Sr.""",97%,positive,90%,positive
Hit & Run,49%,negative,49%,negative
Luckiest Girl Alive,42%,negative,71%,positive
Mank,83%,positive,62%,positive
Your Place or Mine,31%,negative,35%,negative
Malevolent,54%,negative,18%,negative
Mr. Peabody & Sherman,81%,positive,73%,positive
Seven Kings Must Die,82%,positive,71%,positive
Texas Chainsaw Massacre,31%,negative,25%,negative
Sing Street,95%,positive,92%,positive
"Paul, Apostle of Christ",49%,negative,83%,positive
The Two Popes,89%,positive,88%,positive
Knight of Cups,47%,negative,38%,negative
ONE SHOT with Ed Sheeran,100%,positive,,
War Room,34%,negative,87%,positive
Do Revenge,86%,positive,77%,positive
Lara Croft Tomb Raider: The Cradle of Life,24%,negative,44%,negative
The Guernsey Literary and Potato Peel Pie Society,82%,positive,81%,positive
The Long Game,82%,positive,97%,positive
The Rat Catcher,100%,positive,61%,positive
Kabhi Khushi Kabhie Gham,100%,positive,88%,positive
Risen,53%,negative,70%,positive
Dil Chahtha Hain,100%,positive,94%,positive
"Extremely Wicked, Shockingly Evil and Vile",54%,negative,57%,negative
Silenced,100%,positive,93%,positive
Windfall,59%,negative,38%,negative
Becoming Led Zeppelin,85%,positive,95%,positive
Dhoom Dhaam,56%,negative,76%,positive
The Land Before Time,65%,positive,79%,positive
The Land of Steady Habits,83%,positive,50%,negative
A Private War,87%,positive,63%,positive
Ruth & Boaz,,,,
The Discovery,48%,negative,43%,negative
The Old Ways,97%,positive,46%,negative
The Siege of Jadotville,64%,positive,74%,positive
The Wrong Missy,33%,negative,57%,negative
Ip Man,86%,positive,93%,positive
PK,80%,positive,85%,positive
Pieces of a Woman,76%,positive,84%,positive
Daddy Day Care,28%,negative,48%,negative
Raat Akeli Hai,100%,positive,87%,positive
RV,23%,negative,46%,negative
La Dolce Villa,75%,positive,60%,positive
The Starling,19%,negative,72%,positive
Fletch,79%,positive,81%,positive
Inside Man: Most Wanted,,,62%,positive
Spenser Confidential,35%,negative,51%,negative
Heart of Stone,31%,negative,50%,negative
The Kindergarten Teacher,90%,positive,68%,positive
Abducted in Plain Sight,74%,positive,74%,positive
Fear Street Part Two: 1978,88%,positive,81%,positive
National Lampoon's Animal House,91%,positive,89%,positive
Sweet Girl,24%,negative,49%,negative
Scoop,76%,positive,64%,positive
Cloudy With a Chance of Meatballs 2,71%,positive,66%,positive
Lonely Planet,39%,negative,38%,negative
Downton Abbey,84%,positive,94%,positive
I Am Mother,89%,positive,75%,positive
Interceptor,47%,negative,33%,negative
Ittefaq,91%,positive,76%,positive
